Id,單價元平方公尺
0,127272.4348568916
1,107521.94452810887
2,122243.03010634505
3,121828.07671405238
4,241206.2701164237
5,176872.5627647297
6,164967.85933338676
7,201083.54141065184
8,171313.95257859075
9,224319.41917237148
10,249583.0749468806
11,214206.6482473501
12,113372.4933059019
13,143116.78132919283
14,133669.6913984657
15,102572.20469291744
16,136942.36918406351
17,257583.5809864631
18,217531.99130136773
19,180514.68375198342
20,310257.9033692902
21,105917.76286705653
22,110240.96542083907
23,144844.5703234838
24,118904.12730660656
25,115947.30833927623
26,103810.20755035762
27,168313.94792604132
28,255023.32119451676
29,251075.3380181706
30,251204.73388900337
31,270858.42127118725
32,222333.0737493657
33,293101.7949580926
34,256468.430541391
35,246284.62861709684
36,255132.61688960376
37,177341.17959407147
38,227347.42328188918
39,142511.97575441608
40,150786.04108505475
41,229894.3091891609
42,253438.03670528517
43,122149.57799396748
44,116179.8855898944
45,171411.27607042642
46,157431.74145219213
47,219306.1604470728
48,173415.69436537728
49,234756.7164077633
50,141364.74479397127
51,213301.07944893927
52,227456.02252766452
53,238764.61631135084
54,138593.09691535492
55,226448.07515884607
56,144462.9606274883
57,156094.34464726914
58,165275.2137518518
59,165708.28713841198
60,85001.73957194202
61,113686.02000779226
62,138065.4320606083
63,157725.0534743135
64,93230.04487316927
65,180157.43421486244
66,132777.58981255454
67,137229.6019071986
68,116917.35815822991
69,81134.13265127389
70,118877.53146133514
71,107591.16813469728
72,135955.17506077015
73,84505.46176083083
74,143034.19781563283
75,114398.64485204416
76,107919.50973490957
77,115951.37572106547
78,124805.06298726783
79,96461.0154492185
80,197106.5534733913
81,90642.15499461949
82,100711.73043977478
83,71159.21276250573
84,160498.38924027354
85,152357.26848671646
86,142176.99427223366
87,103079.47615192007
88,138725.16963621706
89,155861.76930231438
90,203936.88061541526
91,113806.12919762413
92,120321.46201060116
93,115699.62580448572
94,190446.07139539937
95,96970.98951664142
96,124198.72152859767
97,93648.76840710768
98,86680.60099544693
99,126603.91367420656
100,147530.21132177362
101,95229.42495231566
102,92061.02623594171
103,140445.907585338
104,107496.22023788566
105,152046.98195658138
106,156122.61534511237
107,197550.6718663378
108,128266.00409354412
109,95213.98767115705
110,201836.1115855733
111,195963.34128251972
112,185103.2812078577
113,170254.12581534515
114,72383.0858016609
115,64246.049348900415
116,177754.08541074707
117,170917.61436458453
118,225679.2811552546
119,217138.5550210801
120,241143.23394625992
121,235463.04194796606
122,184178.5556436154
123,223354.9115976795
124,211548.15787125993
125,209659.2518978657
126,204715.7945499389
127,210628.70430342216
128,193174.9863489198
129,179164.82908330616
130,161479.09270237377
131,262835.3280776383
132,158428.55427799595
133,176717.0651677991
134,181656.2243954535
135,173932.82639078697
136,166805.6321586077
137,153330.01443571938
138,179589.11059460396
139,172406.51672602238
140,209544.92975737664
141,201613.49783223378
142,154086.2676855221
143,156827.34442661089
144,194374.34819247853
145,146318.1772828926
146,181121.92792309067
147,186063.04266736357
148,209654.462480495
149,181195.44483917204
150,254146.1947314885
151,219444.07326118046
152,228130.41208343135
153,161898.72665819802
154,178134.5850186326
155,191764.26812576433
156,202120.0629998028
157,205544.36115162724
158,144423.49079798427
159,219202.26254050442
160,236187.27703593817
161,154911.641042273
162,189167.64126271175
163,116136.33966862518
164,131632.5851699085
165,170835.07601395666
166,200888.84769270915
167,251023.22726000645
168,191696.6535360425
169,201466.9630595237
170,188490.55528579198
171,144244.59063004283
172,172372.9702352351
173,205064.4529892264
174,195523.8492353922
175,217068.33590777693
176,203902.593463923
177,205516.80810651573
178,137816.61490037947
179,142099.21374182217
180,171653.1305038914
181,195955.35160968054
182,183526.20066280922
183,243887.36702541792
184,181843.4202267845
185,231551.212495528
186,208208.9450801245
187,217557.0386670239
188,140124.46408213972
189,211972.73610435208
190,156010.751103378
191,206768.29786986494
192,282945.68390866613
193,150388.52812580127
194,206710.19317411937
195,224770.34433079805
196,213487.5864867629
197,279795.1844781869
198,295576.2174832277
199,299549.5019478658
200,125477.35516160194
201,197877.12788698266
202,263186.61513821455
203,164877.59905008203
204,199956.60585649358
205,169958.10564069345
206,207088.70139598832
207,186008.70839823261
208,164000.75837179774
209,148782.69206914218
210,215208.72246609125
211,288661.5623469213
212,170928.54449456523
213,215927.58329028907
214,155185.08130211817
215,204148.28447496475
216,189443.27128372408
217,176077.46256233266
218,187787.34070572277
219,264852.8829511346
220,276480.03556990786
221,148422.5130873203
222,215283.31283584624
223,153156.5836092364
224,179239.4865180841
225,168529.9538280679
226,199814.9658757857
227,261429.30214179555
228,216234.43924098165
229,255921.87649495967
230,132740.56698280654
231,205811.9449771159
232,209157.08493467965
233,217866.1688571447
234,289498.1802694526
235,185958.3713420933
236,260623.50884376015
237,271613.54117922287
238,254235.62313211072
239,188059.78321309242
240,222877.68599474666
241,273398.4986268148
242,256337.56056076687
243,204176.73602107025
244,219903.98205046923
245,322232.9604244927
246,335336.1823851487
247,320596.7426621916
248,306276.36336485646
249,178454.09496903702
250,219594.4738398783
251,219245.2210082759
252,215990.64547099444
253,195889.7256640437
254,213872.38929625813
255,332410.35486124
256,244692.3821093454
257,259396.80383294678
258,175673.38672794792
259,193914.3809700375
260,174253.19562150337
261,175803.51260727565
262,331397.3372965382
263,113646.11702251199
264,173055.5987050706
265,199117.28527819485
266,224058.16041793083
267,145485.33635153473
268,183900.88244680094
269,216680.67091779408
270,186460.67860034734
271,178217.08273720063
272,294754.1010135757
273,261875.14826056195
274,226043.12238979418
275,142443.09292708835
276,110900.19990920433
277,141283.288679337
278,174784.613211885
279,177191.9813773456
280,297032.2509374153
281,209131.41808570738
282,215942.7904637589
283,169241.23005881795
284,214459.95856439645
285,206066.3155844164
286,226910.14463158173
287,218651.65230340863
288,209524.19671735537
289,219593.46191530974
290,241938.19449179168
291,304781.5111352254
292,213791.98696255658
293,246910.17860067912
294,215281.30045552543
295,213588.30754619619
296,221999.45678605928
297,153772.48352657308
298,214804.5330860122
299,255831.9549941355
300,174639.07566271324
301,146361.11980452525
302,207448.29254017037
303,153329.78306839112
304,176274.00320843118
305,135446.57358364871
306,270704.7468527232
307,263984.4694878252
308,254112.33885087664
309,219701.53653805473
310,258549.12627540264
311,224949.74964311474
312,156147.07595566404
313,213228.75850029066
314,184147.08351573013
315,208382.01979719155
316,152747.86829092476
317,143136.9077701385
318,164972.9336693091
319,195834.00768486157
320,299427.9177426228
321,193849.41270554706
322,226180.89305024422
323,145152.42821910253
324,333964.8336756673
325,207144.08110158597
326,177084.62667717625
327,241265.71726452015
328,171143.88766912033
329,176080.44714388953
330,172810.93030125208
331,224009.06902164168
332,173265.37573210202
333,165009.07076422012
334,257871.75267128312
335,135135.11017274103
336,136734.04863143133
337,256898.32350740625
338,166093.26132771172
339,187702.84841773094
340,240964.02662145416
341,200292.04228978817
342,162385.06725633537
343,117292.45231662065
344,185921.24215050452
345,190942.9943611309
346,195800.93812813875
347,171988.11729365034
348,258008.8462735172
349,299321.33026176854
350,159832.30633205877
351,187899.57835525172
352,185610.40669887385
353,220349.09073120114
354,240841.45792157037
355,173692.51617077837
356,173909.10454741513
357,202064.9476831909
358,273673.0605290665
359,187727.61358771907
360,171174.26985705248
361,193043.31837971072
362,146123.10163416594
363,226460.5821953274
364,129322.52358218082
365,122077.84628804045
366,276072.19419547473
367,121395.81001903195
368,227461.72634617361
369,195355.81779955525
370,159338.07857551464
371,172350.64446840502
372,225970.19512199474
373,209219.66168635697
374,181455.3560752898
375,201833.5099073151
376,220864.89054061784
377,117233.53332671273
378,200584.34485157675
379,261176.959543439
380,227193.453784149
381,123949.71941299384
382,136719.91149263945
383,238624.71392422565
384,119446.20649694552
385,133098.47009873088
386,144627.62769888254
387,245753.2949574898
388,261208.4251216833
389,135001.3267852222
390,156249.20663086264
391,182662.9644149906
392,216703.10793237228
393,156923.84840104217
394,161906.21850793462
395,235012.69278204764
396,179313.35889337535
397,227218.06260232074
398,157045.25708101198
399,148973.43062024715
400,238233.82214775946
401,175171.59921428972
402,115955.90926095509
403,185211.24729034727
404,152839.8140297692
405,156182.9760705391
406,119356.98648513324
407,125965.52466536735
408,155125.31433758198
409,121570.4765638558
410,161918.97066638872
411,176435.2171592697
412,164609.72127688862
413,218516.19574689344
414,159020.98609346562
415,160035.77967427595
416,91243.04649398467
417,209732.97108008523
418,104320.36233386832
419,172716.80972478027
420,159546.09444767097
421,160209.2295368757
422,137456.0546949362
423,147846.80235616612
424,138565.3843822707
425,87414.14995665799
426,202394.72643879274
427,163243.4994534902
428,182334.890507272
429,143751.1491987362
430,138430.98604822703
431,126926.05698515425
432,168454.35405762392
433,234933.54929825643
434,108523.1489257919
435,186829.33309959463
436,145092.102580858
437,118251.86893586282
438,203897.27675315554
439,182880.03088355222
440,94868.92195784219
441,136205.64090708847
442,202983.28382620538
443,135475.9540749667
444,242249.468885429
445,136409.58784278177
446,243966.2847517229
447,147682.63638307241
448,96600.44429911677
449,156079.35087433443
450,209477.67609293977
451,178374.96554278475
452,93397.27034528562
453,269428.50584123575
454,215543.24723486826
455,210692.7575909583
456,219717.0599332448
457,233304.04260087732
458,153590.35692931767
459,167232.86934004413
460,231243.30950400673
461,210279.65962338838
462,124405.23703700711
463,107336.41861548554
464,198520.80074229673
465,281464.454999476
466,167416.4715884576
467,177001.73272888394
468,216808.05209979377
469,152763.31209365965
470,163229.50426281392
471,128375.21054267974
472,123796.4780385695
473,144148.98817949498
474,134666.41051984997
475,128308.1064252858
476,185724.83068744623
477,166804.48954318426
478,119958.20211917462
479,139257.64606502702
480,99637.95059164226
481,207644.8000701597
482,257673.64850758403
483,112345.12568905376
484,115143.07393491003
485,188216.4217450143
486,113710.39383097018
487,130827.54732600218
488,253296.1411941088
489,163114.4830310681
490,116089.66369628339
491,146280.33404486495
492,294185.584928937
493,162771.26696708813
494,88995.14552374219
495,97805.93092661735
496,121865.0131332346
497,232414.27228965462
498,169646.59585382295
499,140675.31476671604
500,204656.65683531182
501,90469.96221991246
502,177819.9204200874
503,206393.50109809212
504,269228.69130072393
505,146608.67397757614
506,219231.97478633022
507,84063.56451643872
508,124342.54113167798
509,143176.11175746907
510,145110.87433571127
511,137072.48097471922
512,127301.57508148384
513,98496.704618752
514,225474.76128071357
515,211987.60790514547
516,200307.05018019569
517,164644.4120715509
518,123792.46616074405
519,114047.64876350414
520,104478.23242767107
521,148639.28089318416
522,99766.47974700434
523,256101.1255397376
524,169838.53572074047
525,93572.21341329414
526,149390.27441001486
527,120511.38474197694
528,171666.9339817843
529,121251.04357188259
530,260399.95303396098
531,73534.92021406844
532,174638.52318091836
533,156757.06517055447
534,186144.00451422977
535,145019.86740354804
536,210145.54147255622
537,195743.15030448374
538,217646.07128255448
539,162883.38145232046
540,126603.673007748
541,247870.5000198701
542,128592.68228926763
543,162197.9084456298
544,223874.90561511117
545,94955.40751871653
546,105847.31908830564
547,258696.95559564666
548,198742.86611169137
549,90287.96090953858
550,155550.66210941158
551,128437.68624165154
552,125522.38553138878
553,165925.81203491503
554,269625.9358567932
555,204625.5496547198
556,132380.01631385623
557,252890.53056846498
558,144109.7642432932
559,133984.8687622269
560,185065.3434925357
561,95991.54351385694
562,115601.23338443818
563,202799.79484120183
564,161388.67639842737
565,149316.05155527082
566,198641.31305272868
567,169895.49520180665
568,197530.72637029793
569,192076.44015818456
570,133801.62248583292
571,152489.5615227133
572,131861.2701172654
573,116975.32996237426
574,208472.58390139576
575,134396.52372527865
576,101615.19382161438
577,101096.33891743468
578,126370.74118570407
579,156909.95966750415
580,148699.59816570327
581,139043.6663353927
582,172815.18145368772
583,182487.49950417128
584,186508.29967598888
585,224434.59723063876
586,103304.5746742858
587,119337.71520639615
588,123790.12673787124
589,188494.64012781065
590,214510.85143143928
591,151669.91634270435
592,219748.71236281845
593,287178.90805356205
594,124477.70512790207
595,132926.52384111143
596,178232.30799426025
597,272924.4886039628
598,231828.01528871062
599,139782.96759568833
600,196950.64269156227
601,159672.0006980707
602,135088.08861284892
603,126217.33798248379
604,135221.10169257477
605,149000.46006235332
606,136991.16975678082
607,296219.2868601887
608,280541.26965468517
609,250390.39239416362
610,198782.0123269432
611,173956.6616224816
612,121696.7267017483
613,109338.63850430926
614,213785.69531798895
615,178506.73341570716
616,173727.2852193462
617,135797.00663129604
618,172531.49142794264
619,217826.2833987437
620,177927.7674621107
621,281754.6935380122
622,244485.29068228518
623,82028.45814044512
624,194796.20696824466
625,186155.80452773822
626,168876.73250053517
627,171247.29392878382
628,119344.15434669607
