iter	RMSE
0	56423.5972
1	55254.4091
2	54129.47609
3	53120.21649
4	52194.97407
5	51282.86443
6	50423.29833
7	49604.48241
8	48903.03472
9	48162.42594
10	47497.5347
11	46911.4102
12	46354.38194
13	45794.81903
14	45244.35384
15	44736.68815
16	44261.71901
17	43775.32296
18	43333.45259
19	42923.04942
20	42517.59019
21	42163.96274
22	41806.28506
23	41496.06253
24	41153.83254
25	40850.88643
26	40535.78953
27	40232.95396
28	39982.78607
29	39730.94836
30	39502.96385
31	39251.78983
32	39056.74321
33	38832.04735
34	38643.08272
35	38452.72632
36	38279.13663
37	38127.6902
38	37929.25371
39	37773.88411
40	37612.78507
41	37462.53732
42	37299.14315
43	37124.06442
44	36979.56672
45	36887.8133
46	36770.53259
47	36656.96489
48	36559.65922
49	36448.1419
50	36358.83511
51	36261.3208
52	36170.05247
53	36066.03387
54	35953.61848
55	35868.9085
56	35790.13964
57	35678.33666
58	35611.31212
59	35538.61497
60	35464.07829
61	35374.26998
62	35300.27671
63	35215.51456
64	35155.20038
65	35059.38098
66	34963.18281
67	34887.08112
68	34842.91738
69	34793.94972
70	34735.01509
71	34669.97005
72	34592.02993
73	34501.66745
74	34444.26472
75	34384.89754
76	34302.8352
77	34241.12498
78	34192.32191
79	34127.17601
80	34093.62237
81	34032.15198
82	33975.97791
83	33907.42498
84	33863.62709
85	33780.49425
86	33723.24689
87	33690.12353
88	33643.01311
89	33592.50538
90	33546.10585
91	33463.76297
92	33433.41743
93	33394.3411
94	33345.02306
95	33317.00871
96	33249.5565
97	33208.14514
98	33169.5364
99	33132.81313
100	33100.41392
101	33057.36339
102	33020.18471
103	32986.70203
104	32966.86017
105	32916.40043
106	32869.69632
107	32787.89673
108	32765.63078
109	32732.80068
110	32681.7316
111	32660.58829
112	32610.28304
113	32567.29984
114	32543.81016
115	32495.05589
116	32417.48267
117	32389.04886
118	32366.43351
119	32331.79861
120	32295.70193
121	32220.83583
122	32197.47882
123	32173.52373
124	32102.55004
125	32092.75763
126	32036.60038
127	32015.76662
128	31996.97193
129	31971.21919
130	31940.16726
131	31892.91297
132	31861.68504
133	31835.99773
134	31809.62259
135	31735.6958
136	31692.08437
137	31645.83456
138	31607.97909
139	31594.61303
140	31549.93881
141	31529.39987
142	31507.83306
143	31479.11317
144	31463.65698
145	31450.6938
146	31408.73987
147	31356.53172
148	31337.62979
149	31296.33749
150	31271.01554
151	31234.71299
152	31159.9012
153	31112.56878
154	31063.42866
155	31051.12573
156	31024.87274
157	31002.51664
158	30974.60046
159	30928.98127
160	30922.87785
161	30880.94849
162	30852.3431
