iter	Passed	Remaining
0	3	3216
1	5	2826
2	8	2705
3	10	2710
4	13	2641
5	15	2609
6	18	2588
7	20	2580
8	23	2565
9	25	2545
10	28	2537
11	30	2526
12	33	2519
13	35	2506
14	38	2514
15	40	2516
16	43	2506
17	45	2509
18	48	2519
19	51	2530
20	55	2575
21	57	2562
22	60	2557
23	62	2548
24	65	2549
25	67	2547
26	70	2547
27	73	2543
28	76	2551
29	79	2560
30	81	2554
31	84	2550
32	86	2547
33	89	2544
34	91	2535
35	95	2548
36	97	2548
37	100	2539
38	102	2531
39	105	2533
40	108	2532
41	110	2529
42	113	2526
43	116	2521
44	118	2516
45	121	2510
46	123	2513
47	126	2509
48	129	2505
49	131	2501
50	134	2502
51	137	2502
52	139	2499
53	142	2502
54	145	2500
55	147	2493
56	150	2491
57	153	2487
58	155	2480
59	157	2475
60	160	2470
61	163	2467
62	165	2461
63	168	2458
64	170	2456
65	173	2455
66	176	2451
67	178	2449
68	180	2442
69	183	2436
70	185	2430
71	188	2423
72	190	2419
73	192	2414
74	195	2411
75	198	2409
76	200	2405
77	203	2400
78	205	2395
79	207	2391
80	210	2386
81	212	2382
82	215	2380
83	217	2375
84	220	2373
85	223	2373
86	226	2373
87	228	2368
88	231	2365
89	233	2361
90	236	2360
91	239	2361
92	241	2357
93	244	2354
94	246	2350
95	249	2349
96	252	2346
97	255	2347
98	257	2343
99	260	2341
100	263	2343
101	265	2339
102	268	2342
103	271	2338
104	273	2335
105	276	2332
106	279	2330
107	282	2329
108	284	2326
109	287	2325
110	290	2323
111	292	2321
112	295	2317
113	297	2313
114	300	2310
115	302	2306
116	305	2304
117	307	2300
118	310	2298
119	313	2295
120	315	2292
121	318	2289
122	320	2287
123	323	2288
124	326	2286
125	329	2283
126	332	2282
127	334	2281
128	337	2277
129	339	2272
130	342	2269
131	344	2265
132	346	2261
133	349	2258
134	351	2254
135	354	2250
136	356	2246
137	359	2243
138	361	2238
139	363	2235
140	366	2232
141	368	2228
142	371	2225
143	373	2221
144	376	2219
145	379	2217
146	381	2214
147	384	2212
148	386	2209
149	389	2208
150	392	2206
151	395	2204
152	397	2200
153	400	2198
154	402	2195
155	405	2191
156	407	2188
157	410	2187
158	412	2183
159	415	2180
160	417	2177
161	420	2175
162	422	2171
163	425	2168
164	427	2165
165	430	2162
166	432	2158
167	435	2155
168	437	2152
169	440	2149
170	442	2146
171	445	2145
172	448	2143
173	450	2139
174	452	2135
175	455	2133
176	458	2130
177	460	2126
178	462	2122
179	465	2119
180	467	2116
181	470	2112
182	472	2109
183	475	2107
184	478	2106
185	480	2103
186	483	2101
187	485	2098
188	488	2095
189	490	2092
190	493	2090
191	495	2086
192	498	2084
193	501	2081
194	503	2077
195	506	2076
196	508	2074
197	511	2071
198	514	2070
199	516	2067
200	519	2063
201	521	2060
202	523	2056
203	526	2053
204	528	2048
205	531	2047
206	534	2045
207	536	2042
208	539	2040
209	541	2036
210	543	2033
211	546	2029
212	548	2026
213	551	2023
214	553	2020
215	555	2016
216	558	2014
217	560	2010
218	562	2007
219	565	2005
220	567	2001
221	570	2001
222	573	1998
223	575	1994
224	579	1994
225	581	1992
226	584	1989
227	586	1987
228	589	1983
229	591	1980
230	593	1976
231	595	1972
232	598	1970
233	600	1967
234	604	1966
235	606	1963
236	608	1959
237	611	1956
238	613	1953
239	616	1951
240	618	1948
241	620	1944
242	623	1941
243	625	1938
244	627	1935
245	630	1931
246	632	1928
247	634	1925
248	637	1922
249	639	1919
250	642	1917
251	644	1914
252	647	1910
253	649	1908
254	652	1905
255	654	1902
256	657	1899
257	659	1896
258	661	1893
259	663	1889
260	666	1886
261	669	1884
262	671	1881
263	673	1877
264	676	1875
265	678	1872
266	680	1868
267	683	1865
268	685	1862
269	687	1859
270	690	1856
271	692	1853
272	694	1849
273	696	1846
274	699	1843
275	701	1840
276	703	1837
277	706	1833
278	708	1831
279	710	1827
280	713	1825
281	715	1822
282	718	1819
283	720	1817
284	723	1814
285	725	1812
286	728	1809
287	730	1806
288	733	1803
289	735	1801
290	738	1799
291	741	1796
292	743	1793
293	745	1790
294	748	1787
295	750	1784
296	753	1782
297	755	1780
298	758	1777
299	760	1774
300	762	1771
301	765	1768
302	767	1765
303	770	1763
304	772	1761
305	775	1758
306	778	1756
307	781	1754
308	783	1752
309	786	1749
310	788	1746
311	791	1744
312	793	1741
313	795	1738
314	797	1735
315	800	1733
316	803	1730
317	805	1728
318	808	1725
319	810	1721
320	812	1719
321	815	1716
322	817	1714
323	820	1712
324	823	1709
325	825	1706
326	827	1704
327	830	1700
328	832	1698
329	835	1695
330	837	1692
331	840	1690
332	842	1687
333	844	1684
334	847	1682
335	850	1680
336	852	1677
337	855	1674
338	857	1671
339	859	1668
340	862	1665
341	864	1663
342	866	1660
343	869	1657
344	871	1655
345	875	1653
346	877	1651
347	880	1648
348	882	1645
349	884	1642
350	887	1640
351	889	1638
352	892	1635
353	894	1632
354	896	1629
355	899	1627
356	901	1624
357	904	1621
358	906	1618
359	908	1615
360	911	1612
361	913	1610
362	915	1607
363	918	1604
364	920	1601
365	923	1599
366	925	1596
367	928	1593
368	930	1591
369	932	1588
370	935	1585
371	937	1582
372	940	1581
373	943	1578
374	945	1576
375	948	1573
376	951	1572
377	953	1569
378	956	1567
379	959	1564
380	961	1562
381	964	1559
382	966	1556
383	968	1554
384	971	1551
385	973	1548
386	975	1545
387	978	1542
388	980	1540
389	983	1537
390	985	1534
391	987	1532
392	990	1529
393	992	1527
394	995	1524
395	997	1521
396	1000	1519
397	1002	1516
398	1005	1514
399	1007	1511
400	1010	1508
401	1012	1505
402	1014	1503
403	1017	1500
404	1019	1498
405	1022	1495
406	1024	1492
407	1026	1489
408	1029	1488
409	1032	1485
410	1034	1482
411	1037	1480
412	1039	1477
413	1041	1474
414	1044	1472
415	1047	1469
416	1049	1467
417	1053	1466
418	1055	1463
419	1058	1461
420	1060	1458
421	1062	1455
422	1065	1453
423	1067	1450
424	1070	1448
425	1072	1445
426	1075	1443
427	1077	1440
428	1080	1437
429	1082	1435
430	1084	1432
431	1087	1429
432	1089	1426
433	1091	1423
434	1094	1421
435	1096	1418
436	1099	1416
437	1102	1414
438	1104	1411
439	1106	1408
440	1109	1406
441	1112	1403
442	1114	1401
443	1116	1398
444	1119	1396
445	1122	1393
446	1124	1391
447	1126	1388
448	1129	1385
449	1131	1383
450	1133	1380
451	1136	1377
452	1138	1375
453	1141	1372
454	1143	1369
455	1146	1368
456	1149	1365
457	1151	1362
458	1154	1360
459	1156	1357
460	1158	1354
461	1160	1351
462	1163	1349
463	1165	1346
464	1168	1344
465	1170	1341
466	1172	1338
467	1175	1335
468	1177	1333
469	1179	1330
470	1182	1327
471	1184	1325
472	1186	1322
473	1189	1319
474	1192	1317
475	1195	1315
476	1197	1313
477	1199	1310
478	1202	1307
479	1204	1305
480	1207	1302
481	1209	1300
482	1213	1298
483	1215	1295
484	1217	1293
485	1220	1290
486	1222	1287
487	1224	1285
488	1227	1282
489	1229	1279
490	1231	1276
491	1233	1274
492	1236	1271
493	1239	1269
494	1241	1266
495	1243	1263
496	1246	1261
497	1248	1258
498	1251	1256
499	1254	1254
500	1256	1251
501	1259	1249
502	1262	1246
503	1264	1244
504	1267	1242
505	1269	1239
506	1272	1237
507	1274	1234
508	1277	1232
509	1279	1229
510	1282	1227
511	1284	1224
512	1287	1222
513	1289	1219
514	1292	1217
515	1294	1214
516	1297	1211
517	1299	1209
518	1301	1206
519	1304	1204
520	1306	1201
521	1309	1198
522	1311	1196
523	1314	1193
524	1316	1191
525	1319	1188
526	1321	1186
527	1323	1183
528	1326	1181
529	1328	1178
530	1331	1175
531	1333	1173
532	1336	1170
533	1338	1168
534	1341	1165
535	1343	1163
536	1345	1160
537	1348	1158
538	1350	1155
539	1353	1152
540	1355	1150
541	1358	1147
542	1360	1145
543	1363	1142
544	1365	1140
545	1368	1137
546	1370	1134
547	1372	1132
548	1375	1129
549	1377	1127
550	1379	1124
551	1382	1121
552	1384	1119
553	1387	1116
554	1389	1114
555	1392	1111
556	1394	1109
557	1396	1106
558	1399	1103
559	1401	1101
560	1403	1098
561	1406	1095
562	1408	1093
563	1410	1090
564	1413	1088
565	1415	1085
566	1418	1082
567	1420	1080
568	1423	1078
569	1425	1075
570	1428	1072
571	1430	1070
572	1432	1067
573	1435	1065
574	1437	1062
575	1440	1060
576	1442	1057
577	1444	1054
578	1447	1052
579	1449	1049
580	1451	1047
581	1454	1044
582	1456	1041
583	1459	1039
584	1461	1036
585	1463	1034
586	1466	1031
587	1468	1029
588	1471	1026
589	1473	1024
590	1476	1021
591	1478	1019
592	1481	1016
593	1483	1014
594	1486	1012
595	1489	1009
596	1491	1006
597	1494	1004
598	1496	1001
599	1498	999
600	1501	996
601	1503	994
602	1506	991
603	1509	989
604	1511	986
605	1513	984
606	1515	981
607	1518	978
608	1520	976
609	1523	973
610	1525	971
611	1528	968
612	1530	966
613	1533	963
614	1535	961
615	1537	958
616	1540	956
617	1542	953
618	1545	951
619	1547	948
620	1550	946
621	1553	943
622	1555	941
623	1558	938
624	1560	936
625	1563	933
626	1565	931
627	1567	928
628	1570	926
629	1572	923
630	1575	921
631	1578	919
632	1580	916
633	1582	913
634	1585	911
635	1587	908
636	1590	906
637	1593	903
638	1595	901
639	1597	898
640	1600	896
641	1602	893
642	1605	891
643	1607	888
644	1609	886
645	1612	883
646	1615	881
647	1617	878
648	1619	875
649	1621	873
650	1624	870
651	1626	868
652	1629	865
653	1631	863
654	1634	860
655	1637	858
656	1640	856
657	1642	853
658	1645	851
659	1647	848
660	1650	846
661	1652	843
662	1654	841
663	1657	838
664	1659	836
665	1661	833
666	1664	831
667	1666	828
668	1669	826
669	1671	823
670	1674	821
671	1676	818
672	1679	815
673	1681	813
674	1684	810
675	1686	808
676	1688	805
677	1691	803
678	1694	800
679	1696	798
680	1699	795
681	1701	793
682	1704	790
683	1706	788
684	1708	785
685	1711	783
686	1713	780
687	1715	778
688	1718	775
689	1720	773
690	1723	770
691	1725	768
692	1728	765
693	1730	763
694	1733	760
695	1735	758
696	1738	755
697	1740	753
698	1743	750
699	1745	748
700	1748	745
701	1750	743
702	1753	740
703	1755	738
704	1758	735
705	1760	733
706	1764	731
707	1766	728
708	1768	725
709	1771	723
710	1773	720
711	1775	718
712	1778	715
713	1780	713
714	1783	710
715	1785	708
716	1787	705
717	1790	703
718	1792	700
719	1795	698
720	1797	695
721	1799	693
722	1802	690
723	1804	688
724	1807	685
725	1809	682
726	1811	680
727	1814	677
728	1816	675
729	1819	672
730	1821	670
731	1824	667
732	1826	665
733	1828	662
734	1831	660
735	1833	657
736	1837	655
737	1840	653
738	1842	650
739	1844	648
740	1847	645
741	1849	643
742	1852	640
743	1854	638
744	1857	635
745	1859	633
746	1862	630
747	1864	628
748	1867	625
749	1870	623
750	1873	621
751	1876	618
752	1878	616
753	1880	613
754	1882	610
755	1885	608
756	1887	605
757	1890	603
758	1892	600
759	1895	598
760	1897	596
761	1900	593
762	1902	591
763	1905	588
764	1907	586
765	1910	583
766	1912	581
767	1914	578
768	1917	575
769	1920	573
770	1922	571
771	1925	568
772	1927	566
773	1930	563
774	1932	561
775	1934	558
776	1937	556
777	1939	553
778	1942	551
779	1944	548
780	1947	545
781	1949	543
782	1952	541
783	1954	538
784	1956	535
785	1959	533
786	1961	530
787	1964	528
788	1966	525
789	1969	523
790	1971	520
791	1973	518
792	1976	515
793	1978	513
794	1981	510
795	1983	508
796	1986	505
797	1988	503
798	1991	500
799	1993	498
800	1996	495
801	1998	493
802	2001	490
803	2003	488
804	2005	485
805	2008	483
806	2011	480
807	2013	478
808	2016	476
809	2018	473
810	2020	470
811	2023	468
812	2026	466
813	2028	463
814	2030	460
815	2033	458
816	2035	455
817	2038	453
818	2040	450
819	2042	448
820	2045	445
821	2047	443
822	2049	440
823	2052	438
824	2054	435
825	2057	433
826	2059	430
827	2062	428
828	2064	425
829	2066	423
830	2069	420
831	2071	418
832	2074	415
833	2076	413
834	2078	410
835	2081	408
836	2083	405
837	2086	403
838	2089	400
839	2091	398
840	2093	395
841	2096	393
842	2099	391
843	2102	388
844	2104	386
845	2107	383
846	2109	381
847	2112	378
848	2114	376
849	2117	373
850	2119	371
851	2121	368
852	2124	366
853	2126	363
854	2129	361
855	2131	358
856	2134	356
857	2137	353
858	2139	351
859	2141	348
860	2143	346
861	2146	343
862	2149	341
863	2152	338
864	2154	336
865	2157	333
866	2159	331
867	2161	328
868	2164	326
869	2166	323
870	2169	321
871	2171	318
872	2174	316
873	2176	313
874	2179	311
875	2182	308
876	2184	306
877	2186	303
878	2189	301
879	2191	298
880	2194	296
881	2196	293
882	2199	291
883	2202	289
884	2204	286
885	2207	283
886	2209	281
887	2212	279
888	2214	276
889	2217	274
890	2219	271
891	2221	268
892	2224	266
893	2226	264
894	2229	261
895	2232	259
896	2234	256
897	2236	254
898	2239	251
899	2242	249
900	2244	246
901	2246	244
902	2249	241
903	2252	239
904	2255	236
905	2258	234
906	2260	231
907	2263	229
908	2265	226
909	2268	224
910	2270	221
911	2272	219
912	2275	216
913	2277	214
914	2280	211
915	2282	209
916	2284	206
917	2287	204
918	2289	201
919	2292	199
920	2294	196
921	2297	194
922	2299	191
923	2302	189
924	2304	186
925	2307	184
926	2309	181
927	2312	179
928	2314	176
929	2317	174
930	2319	171
931	2322	169
932	2324	166
933	2327	164
934	2330	161
935	2332	159
936	2335	157
937	2337	154
938	2340	152
939	2342	149
940	2344	147
941	2347	144
942	2350	142
943	2352	139
944	2355	137
945	2358	134
946	2360	132
947	2363	129
948	2365	127
949	2368	124
950	2370	122
951	2373	119
952	2376	117
953	2379	114
954	2382	112
955	2384	109
956	2387	107
957	2390	104
958	2392	102
959	2395	99
960	2397	97
961	2400	94
962	2402	92
963	2405	89
964	2407	87
965	2409	84
966	2412	82
967	2414	79
968	2417	77
969	2419	74
970	2422	72
971	2424	69
972	2427	67
973	2429	64
974	2432	62
975	2435	59
976	2437	57
977	2440	54
978	2444	52
979	2446	49
980	2449	47
981	2451	44
982	2454	42
983	2456	39
984	2459	37
985	2461	34
986	2464	32
987	2467	29
988	2469	27
989	2471	24
990	2475	22
991	2477	19
992	2480	17
993	2482	14
994	2485	12
