Id,單價元平方公尺
0,126560.30337800593
1,108922.98437792194
2,126148.54615898049
3,124499.49429762224
4,243237.07048450218
5,185494.60662453482
6,161055.52623175224
7,199509.94838616502
8,165934.09520922042
9,229680.82230895653
10,260626.0383937388
11,220994.64378652803
12,120750.81499360135
13,141688.3791342933
14,138452.77433795965
15,107924.23040948031
16,141587.42543167356
17,267588.6834062936
18,203771.80144470095
19,168160.54945760668
20,301239.56654544757
21,109237.13140620319
22,111293.19337483574
23,147505.99899080096
24,127013.90897060769
25,121562.42302774273
26,101724.53818621952
27,169032.0149085583
28,261288.15599402128
29,256030.7280151519
30,249541.14384146561
31,257120.59823134873
32,225096.1322726833
33,292837.2517097899
34,252865.27878843364
35,259251.36407043508
36,251806.54140473605
37,172786.7070384627
38,225299.75067862758
39,140717.52724321827
40,149046.67210349493
41,225131.05782703994
42,214594.58474863402
43,122162.48341034501
44,116661.3886066434
45,172070.52194630227
46,159322.29809940548
47,214094.1415500348
48,166744.2853340192
49,230863.97679257853
50,142579.31717188327
51,212175.8621919785
52,225071.1141379634
53,235900.30889491033
54,145421.00789997893
55,227197.3180475909
56,148813.44493651442
57,157242.19776413625
58,182942.44981067895
59,159843.02190142038
60,98805.93887998178
61,119332.48162839863
62,143138.7119072847
63,165023.16765811763
64,94489.78062312947
65,175051.86209524248
66,126058.59590384612
67,142420.6227053416
68,115958.78087779792
69,89149.99411259417
70,113212.00135019612
71,108766.75427011706
72,128595.75205073126
73,91629.45644975081
74,145043.1532210823
75,118083.92921210018
76,110981.54319046042
77,109485.50628743472
78,120788.49166203829
79,95350.91892358621
80,195210.88743102577
81,97489.81401518326
82,104277.77792699524
83,87460.55134404948
84,155596.68379034873
85,155559.40053613138
86,131770.0677403066
87,108029.66951323597
88,136193.03931287274
89,157879.9026135769
90,206885.35438780033
91,106958.04591093256
92,123437.41896832843
93,120662.04743881446
94,188657.57194775972
95,107978.1040698952
96,125833.03117471532
97,101606.98971161946
98,97326.9349918064
99,118334.36083688124
100,136243.00368920286
101,97863.29792470866
102,92745.78432644463
103,146032.86674650037
104,103385.48925502687
105,149998.45748753636
106,144433.67613889475
107,190954.98153658392
108,120367.34226020375
109,97186.89313197791
110,222425.52103153296
111,201823.298565222
112,180017.8123656437
113,175131.22441350226
114,76744.91456577864
115,69624.2166656483
116,181692.43961455068
117,176668.8882534044
118,224544.44811159794
119,215266.7571221017
120,245879.5764240758
121,243171.37452975038
122,176132.5798600866
123,220745.74388679356
124,211666.19716225925
125,201214.20336951932
126,203739.46551741066
127,203131.30185369012
128,201474.1452893266
129,181465.30736654624
130,165874.64157174237
131,265985.5242479051
132,160815.53285152945
133,176131.88707385835
134,180920.08307273412
135,181841.74987778737
136,168988.7878497761
137,153898.16755063093
138,174826.48701753956
139,171279.16873264796
140,213980.6802462727
141,205955.66753348178
142,144420.79132086918
143,159324.68646536517
144,194346.41184535995
145,148588.89487330202
146,185746.32978363842
147,195005.5951388933
148,221811.5534697958
149,169971.1536628249
150,257935.96312603654
151,220875.08424258238
152,217617.18116749433
153,159285.52830549344
154,185341.50649154867
155,189686.72687517852
156,218506.9706502119
157,207317.04509434523
158,148718.32048862503
159,231042.18810974734
160,220741.6932929631
161,159785.28753393167
162,189565.4860338864
163,118246.9347095144
164,134090.31224037806
165,165961.01637488024
166,200664.94047313184
167,247246.2065261379
168,189962.93547611774
169,200492.78753078525
170,188502.84196590655
171,139656.0975051836
172,168953.14126658585
173,203871.6397899415
174,206401.75193177623
175,200815.8641770386
176,198799.39781666742
177,209768.04756826552
178,134323.83685944608
179,149428.168798554
180,171516.88415179757
181,198079.1027497482
182,181443.40957199878
183,238622.19158698936
184,162287.51562906004
185,215517.78549247346
